Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Märchenhaftes Almtal;prospera Medienproduktion GmbH;52263;10000;Land Oberösterreich;;Servus TV;30;2010;"Das innere Almtal im östlichen Salzkammergut hat sich seine wilde Ursprünglichkeit erhalten und bezaubert mit seiner märchenhaften Natur. Die wilden Naturräume des Almtales bergen so manches Geheimnis. Der Almfluss gibt dem Tal seinen Namen. Sein Ursprung liegt im Almsee unter den Felsen des Toten Gebirges. Unter seiner Oberfläche verbirgt sich eine spektakuläre Unterwasserwelt. Ein gewaltiger Bergsturz hinterließ Spuren im Tal, die den Geologen noch heute Rätsel aufgeben. Zahlreiche Geschichten ranken sich um das Tal, sein Wasser, sein Holz und seine Bewohner.";"Situated in the eastern part of the Salzkammergut region of Upper Austria, Almtal is a valley that has continued in its untamed primeval state and offers enchanting natural surroundings. Almtal's wild natural habitats conceal a host of secrets. The River Alm, which lends its name to the valley, flows from Almsee, a lake at the foot of the mountain range known as Totes Gebirge. Submerging below the lake's surface, a spectacular underwater world comes into view. A devastating rockslide has left on the valley scars that geologists today are still unable to fully decipher. Numerous tales surround the valley as well as its waters, woods and inhabitants."
Master of the Universe;Nikolaus Geyrhalter Filmproduktion GmbH;279048;33000;Hessische Filmförderung,HFF-Land;Marc Bauder (Bauderfilm);HR,SWR;90;2012;"Herr V. war einer der führenden Banker in Deutschland. Er machte tägliche Gewinne in Millionenhöhe. Über 25 Jahre gehörte er zum Inner Circle der Bankenwelt, die längste Zeit als einer der Top-Strategen in der Führung der Deutschen Bank, bis er selbst vor ca. drei Jahren mit hoher Abfindung gekündigt wurde. Jetzt spricht er erstmals offen und verschafft uns Zutritt zu sonst verschlossenen Orten und Leuten. Eine beängstigende Innenperspektive aus einer größenwahnsinnigen, quasi-religiösen Parallelwelt hinter verspiegelten Fassaden.";"Mr V. was one of Germany's leading bankers, earning millions of euros in profit each day. For more than 25 years he belonged to the inner circle of the banking world and was one of the top strategy-makers within the Deutsche Bank management, until he himself was dismissed with a handsome paycheque three years ago. Speaking openly for the first time, Mr V. opens a vista on places and people otherwise hidden from view and offers a troubling insider's perspective of the quasi-religious megalomaniacal parallel universe behind mirror-glass façades."
Meine Zeit wird kommen ­ Gustav Mahler in den Erinnerungen von Natalie Bauer-Lechner;Tellux Film GmbH;341038;50000;FFW,BMUKK;;ORF,BR,SF,Unitel;43/52;2009;"Die Tagebücher von Natalie Bauer-Lechner bergen das Geheimnis einer unerfüllten, aber lebenslangen Liebe. Tausende Seiten legen Zeugnis ab von größter Bewunderung und tiefem Verständnis für einen der größten Komponisten des beginnenden zwanzigsten Jahrhunderts ­ Gustav Mahler. Ihre bis heute unveröffentlichten Tagebücher, minutiöse und detailgenaue Beschreibung der bedeutendsten Ereignisse im Leben Mahlers, sind die wichtigste Quelle und ein Schlüssel zum Verständnis der Persönlichkeit und des Lebens von Gustav Mahler und bilden die Basis dieser filmisch-dokumentarischen Erzählung.";"The diaries of Natalie Bauer-Lechner hold the secret of an unfulfilled, lifelong love. Thousands of pages provide evidence of utmost admiration and deep understanding for one of the greatest composers in the early twentieth century: Gustav Mahler. This narration, presented as a television documentary, is based on these hitherto unpublished diaries containing meticulous and detailed descriptions of the most significant events in Mahler's life, which provide a key to understanding the composer."
Michael H. profession: director;Vincentius Lucassen (WILDart FILM);258000;42000;MEDIA,FFW,CNC;Crescendo films S.A.R.L;Cine+,BR,ORF,SF;90;2012;"Haneke ist ein Theoretiker des Bildes. Im Praktizieren der Entschlüsselung von Bild und Mise en Scène mit Sicherheit der kampferprobteste seiner Zeitgenossen. In diesem Portrait nähern wir uns dem Menschen Haneke sowohl in seiner Arbeit als auch in seinem Alltag, um das Haneke'sche Oeuvre in einem bisher unbekannten Licht zu beleuchten und um einen faszinierenden Moralisten sichtbar zu machen, der wie kein anderer weiß, auf den verschmutzten Bodensatz der aktuellen westlichen Gesellschaft hinzuweisen. So fangen wir im Laufe zahlreicher Dreharbeiten und Auftritte beim Festival von Cannes direkt und unmittelbar Momente intensiver Reflexion über seine Arbeit ein und wohnen gleichzeitig der Entfaltung eines Schaffens bei.";"Haneke is a theoretician of images. No one among his contemporaries has agonised more in the practice of deciphering images and film scenes. This portrait introduces us more closely to Haneke as a person, both in his work and day-to-day life, shedding light on previously unknown aspects of his oeuvre and revealing a fascinating moralist who like nobody else has the ability to plumb the murky dregs of contemporary western society. In material taken from a number of film sets and appearances at the Cannes Festival, the film directly and immediately captures Haneke in moments of intensive reflection about his work and draws the viewer into the process of his unfolding creativity."
Milos und die Luchse;Cosmos Factory Filmproduktion GmbH;338933;43000;FFW,Slowakisches Umweltministerium;ARTpoint s.r.o.;ORF,NDR,STV;52;2009;"Dieser Film dokumentiert die ebenso faszinierende wie unterhaltsame Geschichte einer hart erkämpften Freundschaft. Die Hauptdarsteller sind sehr unterschiedlich: auf der einen Seite Milos Majda, ein ruhiger Naturbursche und Wildhüter des slowakischen Malá-Fatra-Nationalparks, auf der anderen zwei lebhafte junge Luchse namens Muro und Lisa, die mit Milos' Hilfe in die Heimat ihrer Vorfahren, die Wälder der Malá Fatra im Norden der Slowakei, zurückkehren sollen. Zwei Jahre lang verfolgen Milos Majda und der Biologe und Tierfilmer Tomas Hulik den Weg der beiden Raubkatzen zurück in die Wildnis.";"This film documents the fascinating and entertaining story of a hard-earned friendship. The main characters are very different from each other. There is Milos Majda, a quiet guy who loves nature and works as a ranger in the Slovak Malá Fatra National Park. And then there are two frisky young lynx called Muro and Lisa, who with the help of Milos are to return to the homeland of their ancestors, the woods of Malá Fatra in northern Slovakia. Milos Madja and Tomas Hulik, a biologist and director of animal films, accompany the two big cats on their return to the wild."
Mission Bundesheer ­ Soldaten gehen an ihr Limit;TALK TV Produktionsgesellschaft m.b.H.;685593;120000;;;ATV;8x48;2009;"In dieser Dokumentarreihe wird das österreichische Bundesheer mit seinen vielschichtigen Aufgabenbereichen, seiner beeindruckenden Infrastruktur, insbesondere aber seinen Soldaten vorgestellt. In acht Folgen begleiten wir die handelnden Personen, begeben uns in ihre alltägliche Umgebung und lernen konkrete Aufträge kennen. Die Einsatzgebiete, egal ob internationales Mandat, Luftraumüberwachung, humanitäre Aktionen, Versorgungs- oder Sicherungsaufgaben: Jeder Einzelne trägt zum Verständnis der Leistungs fähigkeit dieser modernen Armee aus Sicht seiner Position und Erfahrung bei.";"This documentary series introduces the Austrian Armed Forces with its manifold tasks and duties, its impressive infrastructure and, in particular, its soldiers. In eight sequels we accompany some of them in their everyday work and are familiarised with the specific tasks in which they are involved. Their areas of work are complex and varied: international mandates, air surveillance, humanitarian missions, delivering crucial supplies, or security and safety measures. Each member of the staff of the Armed Forces contributes to an understanding the enormous capacities of this up-to-date army from their individual perspective based on their individual experience."
Musik nach dem Krieg;Walter Wehmeyer Filmproduktion;92552;18077;CINESTYRIA;;ORF,BR,Deutsche Welle TV,Planet TV;60;2010;"Der österreichische Cellist Meinhard Holler bringt erstmalig albanische und serbische Musikstudenten sowie junge österreichische Musiker zu einer Meisterklasse zusammen. Die zweiwöchige Konzerttournee führt uns nach Wien, Prishtina, Mitrovica, Prizren und Belgrad. Im Mittelpunkt des Films stehen das leidenschaftliche musikalische Arbeiten der jungen Menschen, die fragile Freundschaft zwischen jungen Albanern und Serben und ihre Sicht des Kosovo-Konflikts, ein gänzlich unbewältigtes Kapitel europäischer Geschichte.";"Austrian cellist Meinhard Holler brought together for the first time Albanian and Serbian music students as well as young Austrian musicians to form a master class. The film follows a two-week concert tour to Vienna, Pristina, Mitrovica, Prizren and Belgrade. The documentary focuses on the young people's passionate music performances, the fragile friendships between young Albanians and Serbs, their view of the Kosovo conflict, and an open chapter in European history that as yet remains completely unresolved."
Mutter Teresa;MR-Film Kurt Mrkwicka Gesellschaft m.b.H.;535791;95000;FFW;;ORF,ZDF;50;2010;"Als Missionarin wird Mutter Teresa zur moralischen Ikone des 20. Jahrhunderts. Eine aufopfernde Ordensfrau, die ihr Leben in den Dienst der Armen stellt. Die kürzlich publizierten persönlichen Briefe und Aufzeichnungen offenbaren jedoch ihre schwere spirituelle Krise und bringen das Bild von der ""frommen Nonne"" gehörig ins Wanken. Mutter Teresa ­ wer war sie wirklich? Die Dokumentation zum 100. Geburtstag und zur voraussichtlichen Heiligsprechung von Mutter Teresa offenbart erstaunliche neue Erkenntnisse.";"The missionary Mother Teresa became a twentieth-century moral icon. A self-sacrificing nun, she devoted her life to serving the poor. Her recently published personal letters and records, however, reveal the grave spiritual crisis she experienced and heavily undermine the familiar image of the pious nun. Who was Mother Teresa really? The documentary, made on the occasion of her one hundredth birthday and her anticipated beatification, reveals astonishing new information."
Nationale Träume ­ Ungarns Abschied von Europa?;Dor Film-Produktionsgesellschaft m.b.H.;215581;53750;FFW;;ORF;52;2012;"Unbemerkt vom Rest Europas hat sich Ungarn seit dem Wahlsieg der rechtspopulistischen Fidezs-Partei im Frühjahr 2010 verändert. Ministerpräsident Viktor Orbán errichtete nach der Niederlage der Sozialisten ein System der Alleinherrschaft seiner Fidesz-Partei. Die Dokumentation analysiert, wie und warum in Ungarn ­ einst Schrittmacher demokratischer Reformen in Osteuropa ­ ein nationalpopulistisches, rechtskonservatives Regime mit offensichtlicher Unterstützung der Mehrheit der Bevölkerung etabliert wurde. Reportagen über bedrängte Roma und Obdachlose, antisemitische und rassistische Statements von Mitgliedern der Jobbik-Partei oder der Überlebenskampf des regierungskritischen Rundfunksenders Klubradio ergeben ein besorgnis erregendes Bild.";"Unnoticed by the rest of Europe, Hungary has changed since the election victory of the popular-right Fidesz party in early 2010. In the wake of the socialists' demise, Prime Minister Viktor Orbán installed a system of monarchical rule under his Fidesz party. The documentary analyses why and how in Hungary ­ once a pacemaker of democratic reform in eastern Europe ­ a national populist, right-wing conservative government was established with the support of a majority of the population. A disturbing picture emerges from the reports of Roma gypsies and homeless individuals under persecution, anti-Semitic and racist statements by members of the Jobbik party, as well as the struggle for survival fought by Klubradio, a station critical of the government."
Nikolaus Harnoncourt ­ Eine Reise ins Ich;Felix Breisach Medienwerkstatt GmbH;85706;17141;;;SF,ORF;43;2009;"Nikolaus Harnoncourt ist einer der wenigen wirklichen Weltstars unter den Dirigenten. Im Film von Felix Breisach lernt man Nikolaus Harnoncourt von seiner privaten Seite her kennen. Der Film beschreibt aber auch seine Karriere, beginnend in den 50er-Jahren. Wesentlicher Bestandteil dieser Dokumentation sind die in den letzten 20 Jahren aufgezeichneten Proben, Interviews, Konzertund Opernproben. Das vorhandene Archivmaterial gibt zusammen mit dem ergänzend gedrehten Material einen historischen Überblick über das Leben, Schaffen und Wirken dieses großen Künstlers.";"Nikolaus Harnoncourt is one of best conductors in the world. This film, directed by Felix Breisach, provides an insight into his personal life and portrays his career, starting in the 1950s. Rehearsals, interviews, concert and opera rehearsals over the last 20 years make up a major part of this documentary. The archive material is blended with new material to provide a historical review of the life and work of this truly great artist."
